",""Beurre"",""35"""
",""Confiture Figue"",""49"""
",""Chocolat"",""59"""
Déjeuner
",""Crème fraîche"",""60"""
",""Fromage"",""175"""
",""Lieu jaune d'Atlantique cuit"",""236"""
",""Panais"",""113"""
",""Pain complet au son"",""146"""
Dîner
",""Pain complet au son"",""68"""
",""Lait"",""37"""
",""Compote de pommes, sans sucre"",""105"""
",""Fromage"",""105"""
",""Muesli (Fruits Secs et Noix)"",""167"""
",""Quiche Poireaux"",""460"""
",""Vinaigrette"",""33"""
Totaux quotidiens
",""Calories"",""2 146"""
",""Mat."",""72 g"""
",""Fibres"",""34 g"""
",""Gluc."",""246 g"""
",""Sodium"",""2 516 mg"""
",""Protéines"",""110 g"""
",""Eau"",""0 ml"""

Mon alimentation 20210107
Repas,Aliments,Calories
Petit-déjeuner
",""Pain complet au son"",""284"""
",""Chocolat"",""59"""
",""Confiture Figue"",""49"""
",""Beurre"",""35"""
Déjeuner
",""Pain complet au son"",""68"""
",""Comté"",""119"""
",""Poulet"",""210"""
",""Riz blanc cuit"",""117"""
",""Chocolat"",""59"""
",""Panais"",""113"""
",""Compote de pommes, sans sucre"",""55"""
",""Crème fraîche"",""120"""
Snack de l'après-midi
",""Kiwi"",""34"""
",""Pomme"",""36"""
Dîner
",""Quiche Poireaux"",""438"""
",""Vinaigrette"",""33"""
",""Yaourt 0% Fraise"",""59"""
",""Pain complet au son"",""68"""
",""Comté"",""107"""
Totaux quotidiens
",""Calories"",""2 063"""
",""Mat."",""46 g"""
",""Fibres"",""26 g"""
",""Gluc."",""189 g"""
",""Sodium"",""1 337 mg"""
",""Protéines"",""40 g"""
",""Eau"",""0 ml"""

Mon alimentation 20210108
Repas,Aliments,Calories
Petit-déjeuner
",""Beurre"",""35"""
",""Chocolat"",""59"""
",""Pain complet au son"",""248"""
",""Pomme"",""52"""
",""Confiture Figue"",""49"""
Déjeuner
",""boursin"",""48"""
",""Compote de pommes, sans sucre"",""63"""
",""Vinaigrette"",""33"""
",""Pain complet au son"",""90"""
",""Quiche Poireaux"",""263"""
",""Sardine à l'huile"",""80"""
",""Chocolat"",""59"""
Dîner
",""Pizza Blanche"",""1 110"""
",""Yaourt 0% Fraise"",""59"""
Après le dîner
",""Jus Multifruits"",""61"""
Totaux quotidiens
",""Calories"",""2 309"""
",""Mat."",""77 g"""
",""Fibres"",""22 g"""
",""Gluc."",""299 g"""
",""Sodium"",""3 276 mg"""
",""Protéines"",""81 g"""
",""Eau"",""0 ml"""

Mon alimentation 20210109
Repas,Aliments,Calories
Petit-déjeuner
",""Chocolat"",""59"""
",""Beurre"",""35"""
",""Confiture Figue"",""49"""
",""Pain complet au son"",""281"""
Déjeuner
",""Riz complet cuit"",""216"""
",""Pain complet au son"",""68"""
",""Fromage"",""105"""
",""Crumble aux pommes"",""111"""
",""Chocolat"",""59"""
",""Poulet"",""150"""
Dîner
",""Fromage"",""105"""
",""Pain complet au son"",""90"""
",""Fromage"",""105"""
",""Riz complet cuit"",""98"""
",""Pizza Blanche"",""296"""
",""Compote de pommes, sans sucre"",""46"""
",""Poulet"",""90"""
Après le dîner
",""Pomme"",""47"""
",""Noix"",""40"""
",""Amandes"",""70"""
Totaux quotidiens
",""Calories"",""2 120"""
",""Mat."",""51 g"""
",""Fibres"",""23 g"""
",""Gluc."",""205 g"""
",""Sodium"",""2 319 mg"""
",""Protéines"",""55 g"""
",""Eau"",""0 ml"""

Mon alimentation 20210110
Repas,Aliments,Calories
Petit-déjeuner
",""Chocolat"",""59"""
",""Beurre"",""35"""
",""Confiture Figue"",""49"""
",""Pain complet au son"",""277"""
Déjeuner
",""Pain complet au son"",""169"""
